,user_id,game_use,rec_use,studio_use,exercise_use,office_use,podcast_use,travel_use,other_use,sound_quality_importance,positional_importance,loud_importance,mic_importance,wireless_importance,noise_cancel_importance,in_ear_importance,on_ear_importance,over_ear_importance,no_pref_oninover,price_sensitivity,min_price,max_price,headphone_name,price,attached_mic,recording_quality,noise_handling,Impedance,sensitivity(dbv),accuracy,weighted_harmonic_distortion,soundstage,imaging,noise_isolation,wireless,over_ear_style,on_ear_style,in_ear_style,open_back,close_back,semiclosed_back
0,0,0,1,0,0,1,0,0,0,7,6,8,4,9.1,4,0,0,0,1,2,0,333.3333333,0,200,0,0,0.497301643,40,115.9067755,0.744541827,0.762441815,0.884194475,0.407200474,0.874034687,0.372088661,0,1,0,0,1,0
1,1,1,0,0,0,0,0,1,0,9,7,6,5,8,9,0,0,0,1,1,0,500,1,50,0,0,0.291916462,120,105.7565435,0.567888113,0.495710764,0.390986058,0.521702574,0.387304677,0,1,0,0,0,1,0
2,2,0,1,1,0,0,0,0,0,9,9.1,8,5,2,9,0,0,0,0,7,0,125,2,100,1,0.3,0.296022725,50,117.3248359,0.903536984,0.639320821,0.738690323,0.372903936,0.405989487,0.399002025,0,0,0,1,0,0
3,3,0,1,0,0,0,1,0,1,8,4,2,0,7,6,0,0,1,0,8,0,111.1111111,3,100,0,0,0.718030301,50,120.4649126,0.576124246,0.359602106,0.776685679,0.597428299,0.693652885,0.400802603,0,0,1,1,0,0
4,4,1,0,0,0,1,1,0,0,9,10,9.1,8,5,3,0,0,0,1,3,0,250,4,200,0,0,0.848770549,180,114.7810862,0.473305677,0.723691872,0.445590496,0.298752571,0.699670237,0,0,1,0,1,0,0
5,5,1,0,0,0,0,1,1,0,8,10,0,9,8,10,0,0,0,1,6,0,142.8571429,5,200,0,0,0.407341099,50,106.16798,0.257015204,0.82631965,0.285007778,0.642159736,0.943142027,0.708702083,1,0,0,1,0,0
6,6,0,1,0,0,0,0,0,0,8,3,7,2,8,3,0,0,0,1,4,0,200,6,50,1,0.44,0.980008362,20,102.9903552,0.974208521,0.820000459,0.580150417,0.266533819,0.915735086,0.435807892,0,0,1,0,1,0
7,7,1,1,1,0,0,0,1,0,10,9,6,7,9.1,10,1,0,0,0,8,0,111.1111111,7,50,0,0,0.758982275,30,96.70281756,0.910664353,0.822907266,0.387989986,0.33847334,0.325898231,0,0,0,1,0,0,0
8,8,0,1,0,0,0,1,1,0,9,6,8,0,8,8,1,0,1,0,0,0,1000,8,50,0,0,0.976738518,50,93.85434855,0.475697814,0.744352767,0.508576281,0.359651886,0.646829937,0,1,0,0,0,0,0
9,9,0,0,0,0,0,1,0,0,8,8,8,1,6,3,1,1,1,0,8,0,111.1111111,9,50,0,0,0.791079185,30,128.6059172,0.565598592,0.762903163,0.291364432,0.872027862,0.270247733,0,0,0,0,0,1,0
10,10,1,0,1,0,0,0,0,0,10,10,5,8,6,8,0,0,0,1,8,0,111.1111111,10,50,1,0.45,0.674617762,10,129.2791719,0.948799023,0.651957284,0.688459147,0.563129078,0.707788646,0,1,0,0,0,1,0
11,11,0,0,1,0,1,0,1,0,6,1,2,5,6,9,0,0,0,1,3,0,250,11,100,0,0,0.401224608,100,110.6107124,0.58227353,0.882128181,0.419671487,0.414169152,0.595033397,0,0,0,1,0,0,1
12,12,0,0,1,0,0,0,0,0,9,8,6,9.1,7,7,1,1,1,0,3,0,250,12,100,0,0,0.352157196,30,126.557558,0.918131366,0.935492776,0.766574959,0.695832087,0.767756978,0,0,1,0,0,1,0
13,13,1,0,1,0,0,1,1,1,8,8,6,6,2,8,0,0,1,0,7,0,125,13,100,1,0.56,0.253718108,20,102.4492032,0.88441647,0.661881117,0.521495012,0.918745268,0.909715402,0,1,0,0,0,1,0
14,14,0,1,1,0,0,0,0,0,9,8,2,4,0,9,0,0,0,1,6,0,142.8571429,14,300,0,0,0.623042357,10,126.9645211,0.974252684,0.31169522,0.409315786,0.77261682,0.361010425,0,1,0,0,0,1,0
