,user_id,game_use,rec_use,studio_use,exercise_use,office_use,podcast_use,travel_use,other_use,sound_quality_importance,positional_importance,loud_importance,mic_importance,wireless_importance,noise_cancel_importance,in_ear_importance,on_ear_importance,over_ear_importance,no_pref_oninover,price_sensitivity,min_price,max_price,headphone_name,price,attached_mic,recording_quality,noise_handling,Impedance,sensitivity(dbv),accuracy,weighted_harmonic_distortion,soundstage,imaging,noise_isolation,wireless,over_ear_style,on_ear_style,in_ear_style,open_back,close_back,semiclosed_back
0,0,0,1,1,1,0,1,1,0,9,5,9.1,2,4,7,1,1,1,0,5,0,250,0,50,0,0,0,120,100.4678351,0.595417265,0.755151322,0.841786724,0.936618056,0.924459739,3,1,0,0,0,1,0
1,1,1,0,0,0,0,0,0,0,10,8,6,7,8,3,1,1,0,0,3,0,1000,1,100,0,0,0,40,98.14565971,0.682461912,0.955545023,0.95201548,0.766059713,0.615752633,0,0,0,1,0,1,0
2,2,1,0,1,0,0,0,1,0,6,7,2,6,2,5,0,0,0,1,6,0,200,2,50,1,0.646,0.620200209,10,117.5976915,0.936032234,0.63796956,0.579871838,0.531017194,0.216708408,4,0,1,0,1,0,0
3,3,0,1,0,0,0,1,0,0,9,9.1,6,3,1,4,1,1,1,0,2,0,333.3333333,3,100,1,0.4312,0.967913152,10,96.69559659,0.599148843,0.768945865,0.577439622,0.702207214,0.63636074,0,0,1,0,0,1,0
4,4,0,1,0,0,0,0,0,0,7,7,4,5,8,10,0,0,0,1,8,0,125,4,50,0,0,0,30,97.14645621,0.915021479,0.895741173,0.795514906,0.940468691,0.918920248,7,0,1,0,0,1,0
5,5,1,1,1,0,1,1,0,0,9,9,5,5,5,5,0,0,0,1,3,0,500,5,50,1,0.308,0.564305872,40,96.18451374,0.923326305,0.896766896,0.567376115,0.648219198,0.974391847,5,0,0,0,0,1,0
6,6,0,1,1,0,0,0,1,1,10,7,8,7,4,8,0,0,0,1,4,0,1000,6,100,0,0,0,10,111.3277172,0.761692587,0.510257894,0.919514474,0.980023316,0.219063475,6,1,0,0,0,0,1
7,7,0,1,0,1,0,0,1,0,9,6,0,4,9.1,8,1,0,0,1,2,0,500,7,50,0,0,0,50,107.2083425,0.975622299,0.544072131,0.599430264,0.667081422,0.79282448,3,0,0,1,0,1,0
8,8,0,0,1,1,1,1,0,0,8,6,5,4,6,4,1,0,0,0,6,0,111.1111111,8,50,0,0,0,30,117.3982281,0.636483993,0.9310705,0.549777318,0.887792314,0.933281306,6,1,0,0,0,1,0
9,9,0,0,0,0,1,0,1,0,9,8,8,9.1,7,8,0,0,0,1,3,0,1000,9,100,0,0,0,100,107.6319692,0.934792378,0.706670435,0.674885251,0.840786074,0.155843149,3,0,0,1,1,0,0
10,10,0,1,1,0,1,1,0,0,8,8,4,2,5,2,0,0,0,1,7,0,99.00990099,10,100,0,0,0,20,110.4154274,0.959279784,0.601486238,0.592698407,0.766356781,0.112835241,3,1,0,0,1,0,0
11,11,0,1,0,0,0,0,0,0,9,2,5,7,1,10,0,0,0,1,8,0,500,11,100,0,0,0,120,108.2246442,0.823813511,0.804048286,0.610567585,0.823695496,0.565247239,0,0,0,1,0,1,0
12,12,0,0,1,1,0,1,1,0,9,9.1,2,6,2,8,1,0,0,0,4,0,99.00990099,12,50,0,0,0,180,92.46534671,0.97276908,0.927483572,0.839815233,0.730025645,0.905611783,3,0,0,0,0,1,0
13,13,1,1,0,0,0,1,1,0,8,7,8,6,9.1,8,0,0,0,1,8,0,111.1111111,13,50,0,0,0,20,124.9431746,0.536903876,0.642198045,0.525881484,0.941801493,0.625362944,0,1,0,0,0,0,0
14,14,0,0,1,1,1,1,1,0,9,3,4,3,8,7,1,0,0,1,6,0,166.6666667,14,300,0,0,0,180,90.24972489,0.618875797,0.887984146,0.887903336,0.567734887,0.998803801,5,1,0,0,0,1,0
15,15,1,0,0,0,0,1,0,0,7,8,1,9.1,8,8,0,0,1,0,1,0,99.00990099,15,100,0,0,0,120,108.7226108,0.803561436,0.706706454,0.93788731,0.657010799,0.297619698,6,0,0,1,0,0,1
16,16,0,1,1,0,0,0,0,1,9,6,8,8,5,10,1,0,1,0,2,0,125,16,50,0,0,0,30,100.95935,0.957914152,0.61044791,0.50727467,0.956071919,0.751262311,0,1,0,0,0,1,0
17,17,1,0,0,0,0,1,1,0,9,9,9.1,8,4,9,0,0,0,1,0,0,166.6666667,17,50,0,0,0,10,117.0935845,0.612049501,0.674196802,0.630219099,0.803434883,0.530172976,0,0,0,1,0,1,0
18,18,0,1,0,0,1,0,1,1,8,0,0,8,2,5,1,1,1,0,8,0,1000,18,100,0,0,0,120,106.2807666,0.898004113,0.666141177,0.901023223,0.676136925,0.966921834,0,0,1,0,0,1,0
19,19,1,1,1,0,0,0,0,0,9,7,5,6,1,10,0,0,1,0,2,0,333.3333333,19,100,0,0,0,10,107.5276788,0.575751374,0.651456371,0.631024352,0.884167459,0.1304291,3,0,0,1,1,0,0
20,20,0,0,0,0,0,0,1,0,7,2,7,8,6,6,1,1,1,0,5,0,99.00990099,20,200,0,0,0,300,99.31112192,0.967342751,0.782744918,0.881394156,0.940197221,0.517435359,4,0,0,1,0,1,0
21,21,0,0,0,1,1,1,0,0,8,9.1,8,4,4,5,1,1,1,0,7,0,166.6666667,21,100,1,0.2184,0.534582666,10,100.6630297,0.558292498,0.553462633,0.642752442,0.783096782,0.511524629,5,1,0,0,0,1,0
22,22,0,0,0,0,0,1,0,0,9,1,6,7,8,3,0,0,0,1,3,0,166.6666667,22,100,0,0,0,20,99.2611646,0.909655938,0.781215796,0.739902141,0.892729973,0.79906603,0,1,0,0,0,0,0
23,23,1,0,0,0,0,0,0,0,10,9,8,8,7,6,0,0,0,1,9.1,0,200,23,50,0,0,0,180,90.92001813,0.65259622,0.959414819,0.668233738,0.574117433,0.975972305,4,0,0,1,0,1,0
24,24,0,0,1,0,1,0,0,0,9,6,7,0,2,7,0,0,0,1,4,0,1000,24,50,0,0,0,100,92.20829098,0.881389048,0.635554476,0.884236833,0.518610596,0.592653483,0,0,0,1,0,1,0
25,25,1,0,0,0,0,1,0,0,8,9,4,5,8,2,0,1,0,0,0,0,111.1111111,25,50,1,0.286,0.554771009,120,102.6392078,0.539016895,0.904107933,0.562112474,0.66037532,0.242558187,0,0,0,1,1,0,0
26,26,1,0,1,0,0,0,0,0,10,9,6,9,1,4,1,0,1,0,2,0,125,26,50,0,0,0,40,111.9566059,0.542018722,0.934679734,0.720061706,0.762650912,0.847950717,7,0,0,0,0,1,0
27,27,0,0,0,0,0,0,0,0,9,5,0,9.1,7,5,0,0,0,1,0,0,99.00990099,27,50,0,0,0,10,94.31922647,0.600876542,0.740086311,0.681975602,0.953527431,0.837360137,0,1,0,0,0,1,0
28,28,0,1,1,1,0,0,0,0,9,1,7,2,5,4,1,0,1,0,7,0,500,28,100,0,0,0,50,115.3880653,0.694117192,0.736017819,0.948022568,0.631524503,0.829222344,0,0,0,1,0,1,0
29,29,1,0,0,0,0,1,0,0,7,9,1,7,7,6,0,1,1,0,0,0,1000,29,400,0,0,0,10,118.9444353,0.753675589,0.939147805,0.630646453,0.649548548,0.679712409,4,1,0,0,0,1,0
30,30,0,1,0,0,0,0,1,0,8,8,4,7,2,7,1,0,1,0,5,0,333.3333333,30,50,0,0,0,20,90.14901532,0.70836078,0.92765391,0.990666631,0.701047992,0.679027179,0,1,0,0,0,0,0
31,31,1,0,1,0,0,0,0,0,9,9,1,7,6,10,1,0,1,0,1,0,142.8571429,31,300,0,0,0,10,118.969025,0.993386318,0.69216113,0.907644236,0.893102308,0.102172892,5,0,0,1,1,0,0
32,32,0,0,0,1,1,0,0,0,8,6,0,2,4,2,1,0,0,1,4,0,142.8571429,32,100,0,0,0,150,126.203953,0.530596175,0.976242708,0.895257298,0.790427565,0.16761406,4,0,0,1,1,0,0
33,33,0,1,0,0,0,1,1,0,6,4,8,2,4,7,0,0,0,1,8,0,500,33,50,0,0,0,20,112.2407137,0.666375932,0.570326415,0.717818738,0.662622706,0.722999285,4,0,0,1,0,1,0
34,34,0,0,1,1,1,0,0,0,10,4,8,0,5,4,1,0,0,1,6,0,111.1111111,34,100,0,0,0,100,96.29242421,0.798958241,0.825629851,0.556444867,0.903883267,0.796258085,6,0,1,0,0,1,0
35,35,1,1,0,0,0,1,0,0,10,10,7,6,5,2,1,0,0,0,8,0,111.1111111,35,200,0,0,0,150,106.8974585,0.585139517,0.983075446,0.744585395,0.708086414,0.849171061,7,1,0,0,0,1,0
36,36,0,0,0,0,1,1,0,1,8,8,9.1,7,2,10,1,1,1,0,7,0,111.1111111,36,50,0,0,0,50,124.6014871,0.909030773,0.963528533,0.94873058,0.91449702,0.990308304,5,0,0,1,0,1,0
37,37,1,0,0,0,0,0,0,0,8,10,8,6,8,5,0,0,0,1,6,0,125,37,50,0,0,0,150,91.90173801,0.929357852,0.952754969,0.928107557,0.77647652,0.332961184,7,1,0,0,0,0,1
38,38,1,1,1,0,0,0,0,0,8,9,6,5,9.1,10,0,0,0,1,3,0,1000,38,50,0,0,0,10,92.5953145,0.700446897,0.503935711,0.50965277,0.714683682,0.110932018,0,0,1,0,1,0,0
39,39,1,0,1,0,1,0,1,0,9,7,6,7,2,8,0,0,1,0,9.1,0,166.6666667,39,100,0,0,0,30,121.212705,0.715950262,0.836264815,0.681917453,0.919591993,0.606407466,0,0,1,0,0,1,0
40,40,0,0,0,1,0,0,0,0,9,2,1,8,1,10,1,0,0,1,1,0,200,40,100,0,0,0,20,109.6984824,0.881535814,0.652285727,0.923016536,0.938304505,0.828745205,0,0,1,0,0,1,0
41,41,1,0,0,0,0,1,1,0,8,7,3,7,3,8,0,0,0,1,3,0,166.6666667,41,50,0,0,0,20,93.19307333,0.957030061,0.804617895,0.540903764,0.71588481,0.884372887,0,0,0,0,0,1,0
42,42,0,1,0,1,0,0,0,0,8,1,6,4,0,2,1,1,1,0,2,0,111.1111111,42,200,0,0,0,20,115.9804217,0.535607893,0.754200506,0.536536953,0.846334166,0.936338375,0,1,0,0,0,1,0
43,43,1,1,1,0,1,0,0,0,8,9,5,9.1,1,2,0,0,0,1,1,0,142.8571429,43,400,0,0,0,120,121.5036226,0.654380542,0.857710121,0.714424578,0.81075628,0.508880416,0,0,1,0,0,1,0
44,44,1,0,1,0,1,0,0,1,7,10,0,9.1,6,3,0,0,0,1,8,0,111.1111111,44,100,0,0,0,30,117.3393693,0.585663521,0.551642409,0.797033422,0.556138929,0.831336972,6,0,0,0,0,1,0
45,45,0,0,0,1,1,0,1,0,10,1,1,1,9.1,6,1,0,0,1,5,0,250,45,200,0,0,0,30,113.99955,0.730842483,0.848338339,0.757245256,0.645805301,0.658846087,4,0,0,1,0,0,0
46,46,0,0,0,1,0,0,1,0,7,7,0,5,4,8,1,0,0,0,6,0,200,46,100,0,0,0,10,100.9799807,0.820292696,0.69868189,0.64254312,0.776929898,0.777058137,3,1,0,0,0,1,0
47,47,0,1,0,1,0,0,0,0,6,7,4,1,4,3,1,0,0,1,1,0,166.6666667,47,300,0,0,0,50,122.1117118,0.988550595,0.932123879,0.629075783,0.942279518,0.318267029,0,0,0,1,0,0,1
48,48,0,1,1,0,1,0,0,0,7,1,5,8,4,4,0,1,1,0,6,0,1000,48,200,0,0,0,120,110.197479,0.643914774,0.73959151,0.625542108,0.920374755,0.732587483,5,0,0,1,0,1,0
49,49,0,0,0,1,0,0,0,0,8,0,4,2,3,6,1,0,0,1,6,0,166.6666667,49,50,0,0,0,20,107.5870468,0.987654629,0.861060208,0.566515631,0.913241959,0.882071695,3,0,0,1,0,1,0
50,50,1,0,0,0,0,1,1,0,6,8,9.1,9.1,2,6,0,0,0,1,7,0,125,50,100,1,0.2793,0.968069059,40,106.8881405,0.694762976,0.684823248,0.833921334,0.583492785,0.953882006,5,1,0,0,0,1,0
51,51,0,0,0,0,1,0,0,0,8,5,5,7,7,3,0,0,0,1,6,0,333.3333333,51,50,0,0,0,20,111.9639112,0.645365639,0.765382103,0.808236552,0.966352003,0.610095879,0,0,0,0,0,1,0
52,52,1,1,1,0,1,1,1,0,6,9,6,6,0,8,0,0,0,1,9.1,0,125,52,300,0,0,0,20,90.07278369,0.678770433,0.664986815,0.834588658,0.903811824,0.825727408,0,0,0,0,0,1,0
53,53,0,0,0,1,1,0,1,0,10,2,7,0,0,6,1,0,0,1,1,0,250,53,50,0,0,0,30,91.07337905,0.833555862,0.795078275,0.924637326,0.750522126,0.844316602,7,0,1,0,0,1,0
54,54,1,0,1,0,0,0,0,0,10,8,3,7,6,8,0,1,0,0,2,0,99.00990099,54,400,0,0,0,30,122.8019997,0.615380876,0.503324875,0.9302206,0.514171792,0.804552737,3,1,0,0,0,1,0
55,55,1,0,0,0,0,0,1,0,9,7,4,8,9.1,9,1,0,1,0,3,0,111.1111111,55,300,0,0,0,100,106.4248978,0.94512373,0.827782856,0.908308348,0.613747,0.196743448,0,0,0,0,1,0,0
56,56,0,1,1,0,0,1,0,1,10,6,0,2,1,4,0,0,0,1,6,0,250,56,100,1,0.4437,0.987985662,150,121.6650075,0.969516926,0.570255292,0.713994255,0.528261802,0.859762298,0,1,0,0,0,1,0
57,57,0,1,0,0,0,1,1,0,10,0,1,4,7,9,0,0,0,1,6,0,500,57,50,0,0,0,50,121.9710038,0.929339511,0.59009142,0.915142842,0.632143223,0.879121451,5,1,0,0,0,1,0
58,58,0,0,1,0,1,1,0,0,8,5,4,5,1,2,0,1,1,0,7,0,500,58,300,0,0,0,40,120.5001225,0.596992451,0.955864977,0.526583422,0.604957602,0.627192124,0,0,0,1,0,1,0
59,59,1,0,1,0,0,1,1,0,10,9.1,6,7,6,10,0,1,0,0,6,0,1000,59,200,0,0,0,20,114.9864503,0.941336607,0.542824393,0.759981254,0.865589893,0.810599963,3,0,1,0,0,1,0
60,60,0,1,0,1,0,1,0,0,8,7,6,6,0,10,1,1,1,0,3,0,200,60,100,0,0,0,20,129.3043112,0.591085629,0.837992793,0.516487262,0.999949896,0.966752348,6,0,0,1,0,1,0
61,61,0,0,0,1,0,0,1,0,8,3,8,3,9.1,8,1,1,1,0,7,0,250,61,50,0,0,0,40,101.1007947,0.531736703,0.505944157,0.632385929,0.707069472,0.933097283,4,1,0,0,0,1,0
62,62,1,0,0,0,0,0,0,0,8,8,5,9.1,2,4,1,0,1,0,4,0,333.3333333,62,200,0,0,0,50,122.158661,0.794876293,0.939059194,0.662420975,0.541676939,0.858464177,4,0,0,1,0,1,0
63,63,1,1,0,0,0,0,1,0,8,7,7,9.1,5,6,1,1,0,0,2,0,250,63,100,0,0,0,20,128.0664764,0.840134322,0.623920348,0.850900495,0.57063981,0.560581785,7,1,0,0,0,1,0
64,64,0,1,0,0,0,1,0,0,9,4,5,2,1,8,1,0,0,0,0,0,250,64,100,0,0,0,40,106.764725,0.725150206,0.98557177,0.857255077,0.591494357,0.99245513,0,0,0,1,0,1,0
65,65,0,1,1,0,1,1,1,0,8,3,0,5,2,7,0,0,0,0,6,0,125,65,200,1,0.3795,0.658770894,100,92.32534722,0.965028636,0.943440336,0.524587757,0.820485516,0.89667925,0,0,0,0,0,1,0
66,66,0,1,0,0,1,1,0,0,9,4,6,3,5,2,0,0,0,0,3,0,142.8571429,66,200,0,0,0,120,120.1797861,0.810350639,0.991115863,0.999000675,0.922776057,0.324552668,0,1,0,0,0,0,1
67,67,1,1,1,0,0,0,0,0,8,8,8,9.1,7,6,0,0,0,1,3,0,166.6666667,67,300,1,0.23,0.694366904,40,105.5721289,0.655120743,0.81016516,0.841954609,0.824674266,0.745663111,6,0,1,0,0,1,0
68,68,1,1,0,0,0,1,1,0,9,7,6,9.1,4,8,1,0,0,0,2,0,500,68,200,0,0,0,10,116.6610197,0.724219619,0.600180375,0.515271835,0.816204531,0.931002446,6,0,0,1,0,1,0
69,69,1,0,1,0,0,1,0,0,9,9,5,9,4,2,1,0,1,0,0,0,1000,69,200,0,0,0,120,106.7858731,0.84229062,0.611247214,0.945794892,0.788317867,0.605771088,0,0,0,1,0,1,0
70,70,0,1,1,0,1,0,1,0,8,1,0,6,2,9,0,0,1,0,4,0,1000,70,50,0,0,0,180,97.13346666,0.566750642,0.921185374,0.712370088,0.794476842,0.762660824,0,1,0,0,0,1,0
71,71,1,0,0,0,0,0,0,0,9,9,7,6,6,6,0,0,0,1,4,0,166.6666667,71,400,0,0,0,120,101.9410384,0.760327044,0.522070974,0.787143804,0.729234905,0.666780785,7,0,1,0,0,1,0
72,72,0,0,0,0,0,0,0,0,6,2,0,0,3,5,0,0,0,1,5,0,111.1111111,72,100,0,0,0,40,104.4334985,0.54345052,0.800924793,0.884903989,0.736405504,0.721500334,0,1,0,0,0,1,0
73,73,1,0,0,0,0,0,0,0,9,9,7,8,0,2,0,0,0,1,7,0,1000,73,100,0,0,0,120,104.2667242,0.603711645,0.589088,0.643979235,0.715054881,0.777890094,7,0,1,0,0,1,0
74,74,0,1,0,0,1,0,0,0,8,1,6,3,1,6,1,0,0,0,6,0,142.8571429,74,100,0,0,0,120,106.709566,0.934104173,0.689627123,0.846350202,0.596114194,0.236259819,6,0,0,1,0,0,1
75,75,1,0,1,0,1,0,0,0,8,7,8,9.1,6,7,0,0,0,1,8,0,142.8571429,75,200,0,0,0,100,105.8752858,0.842017793,0.991161312,0.90644017,0.66956356,0.585459657,3,1,0,0,0,0,0
76,76,0,1,0,1,0,1,0,0,8,1,1,7,0,6,1,0,0,0,2,0,250,76,100,0,0,0,10,108.0027454,0.696735128,0.952566558,0.787261858,0.59561763,0.127597519,6,0,0,1,1,0,0
77,77,1,1,1,0,0,0,0,0,9,8,0,8,7,8,1,1,1,0,3,0,200,77,100,0,0,0,20,126.8702418,0.607600869,0.647742417,0.649645463,0.57602336,0.778636971,6,1,0,0,0,1,0
78,78,1,0,0,0,0,0,0,0,9,7,6,9,9.1,2,0,0,0,1,1,0,500,78,50,0,0,0,120,121.1284271,0.905593275,0.835403233,0.93059483,0.689440058,0.68502565,0,0,0,1,0,1,0
79,79,0,0,1,0,1,1,0,1,10,8,4,1,4,3,0,0,0,1,8,0,111.1111111,79,50,0,0,0,180,122.2942287,0.583202258,0.529163345,0.843488498,0.706294738,0.623130186,7,0,0,1,0,1,0
80,80,1,0,0,0,0,0,1,1,9,7,6,8,1,9,1,0,0,0,1,0,111.1111111,80,100,0,0,0,50,111.1883008,0.7659396,0.586428259,0.861805921,0.850751141,0.573533067,6,0,0,1,0,1,0
81,81,1,0,0,0,0,1,0,0,9,9,2,7,7,2,0,0,0,1,7,0,142.8571429,81,100,0,0,0,120,122.6954337,0.789549346,0.677877926,0.631803171,0.947743385,0.329828021,3,1,0,0,0,0,1
82,82,1,0,1,0,1,0,0,0,10,10,2,5,9.1,10,0,1,0,0,0,0,142.8571429,82,100,0,0,0,180,127.8346399,0.784958822,0.905618778,0.678439901,0.741688406,0.977157748,0,1,0,0,0,1,0
83,83,0,0,0,1,1,1,0,0,9,0,6,1,4,2,1,0,0,0,1,0,125,83,300,0,0,0,120,109.068872,0.77347728,0.84735061,0.759525989,0.806648373,0.824991143,0,0,0,1,0,1,0
84,84,1,1,1,0,0,0,1,0,9,7,3,5,1,7,0,0,0,1,3,0,333.3333333,84,200,0,0,0,150,126.7309041,0.953584557,0.582118148,0.886630338,0.531055792,0.156894716,5,0,1,0,1,0,0
85,85,1,0,0,0,0,1,0,0,6,7,0,5,8,9,1,0,0,0,0,0,1000,85,50,0,0,0,180,118.1112507,0.771315207,0.986188957,0.670912352,0.505689631,0.766593394,6,0,1,0,0,1,0
86,86,0,0,0,0,1,1,0,0,8,7,7,3,0,2,0,0,0,1,6,0,200,86,50,0,0,0,30,90.13823773,0.593881699,0.906164173,0.581941816,0.768552921,0.888090921,7,1,0,0,0,0,0
87,87,0,0,1,0,0,0,0,0,9,4,1,2,3,7,0,1,0,0,4,0,111.1111111,87,50,0,0,0,180,118.2417553,0.92928785,0.521740865,0.890117987,0.663466661,0.219938143,7,1,0,0,1,0,0
88,88,0,1,0,0,0,0,0,0,7,3,7,9.1,7,9,0,1,0,0,4,0,333.3333333,88,50,0,0,0,20,114.2331777,0.893146217,0.648825896,0.721178831,0.561732676,0.764210566,0,1,0,0,0,1,0
