user_id,game_use,rec_use,studio_use,exercise_use,office_use,podcast_use,travel_use,other_use,sound_quality_importance,positional_importance,loud_importance,mic_importance,wireless_importance,noise_canceling_importance,in_ear_importance,on_ear_importance,over_ear_importance,no_pref_oninover,price_sensitivity,min_price,max_price,headphone_name,user_rating,price,attached_mic,recording_quality,noise_handling,Impedance,sensitivity(dbv),accuracy,weighted_harmonic_distortion,soundstage,imaging,noise_isolation,wireless,over_ear_style,on_ear_style,in_ear_style,open_back,close_back,semiclosed_back
1,1,1,0,0,0,0,0,0,8,10,10,10,7,5,0,0,1,0,10,0,150,1,5,179,1,8.7,8.8,50,116,7.9,8,7.5,8.6,1.5,0,1,0,0,1,0,0
2,1,1,0,0,0,0,0,0,9,8,9,7,9,5,0,0,1,0,7,0,242.8571429,2,5,249,1,8,3,25,122,5,5,6,6,4,9,1,0,0,0,0,1
3,1,1,0,0,0,0,0,0,9,8,6,9,8,10,0,0,1,0,9,0,188.8888889,3,5,165,1,6,5,36,121,6,5,7,9,1,9,1,0,0,1,0,0
4,1,1,0,0,0,0,0,0,6,8,6,9,8,0,0,0,1,0,9,0,188.8888889,4,5,213,1,2,7,37,123,3,8,7,7,8,8,1,0,0,0,1,0
5,1,1,0,0,0,0,0,0,10,8,10,10,9,10,0,0,1,0,5,0,340,5,5,272,1,3,8,38,119,6,6,8,7,1,7,1,0,0,1,0,0
6,1,1,0,0,0,0,0,0,8,8,7,8,7,5,0,0,1,0,8,0,212.5,6,5,255,1,8,8,24,112,6,6,8,7,6,6,1,0,0,0,1,0
7,1,1,0,0,0,0,0,0,6,8,10,9,7,10,0,0,1,0,6,0,283.3333333,7,5,299,1,5,6,31,117,5,5,8,9,3,5,1,0,0,0,0,1
8,1,1,0,0,0,0,0,0,9,8,10,7,9,3,0,0,1,0,10,0,170,8,5,139,1,5,2,28,113,3,7,7,8,2,9,1,0,0,1,0,0
9,1,1,0,0,0,0,0,0,9,9,10,7,10,1,0,0,1,0,9,0,188.8888889,9,5,198,1,3,2,47,110,3,8,8,8,4,5,1,0,0,0,0,1
10,1,1,0,0,0,0,0,0,10,8,4,8,10,7,0,0,1,0,10,0,170,10,5,136,1,3,2,39,114,8,4,8,9,9,8,1,0,0,0,1,0
